sku,st_komplektaciya
D26200-QS,"параллельная направляющая, переходник для пылесоса, цанга - 8 мм, ключ - 17 мм, упаковка."
DWE6005-QS,"d-образная подошва, 6 мм цанги, копир и упор, защитная накладка, kлюч 17 мм, переходник для пылесоса."
D26203-QS,"фрезер, параллельная направляющая, переходник для пылесоса, цанга 8 мм, ключ 17 мм, центрирующий конус."
DW670,"фрезер, квадратная подошва, цанги 8 мм, 6 мм и 1/4"" , копир и упор, ключ 17/19 , переходник для пылесоса, упаковка."
DW609,"цанга 8 мм, направляющая, роликовый копир, ключи 13/17 мм и 11/13 мм."
DW682K-QS,"твердосплавная фреза, мешок для стружки, спецключ, переходник для сбора стружки, чемодан."
DW615-QS,"параллельный упор, две направляющие штанги, направляющая гильза 17 мм, набор для пылеудаления, цанга 8 мм."
DW625E-QS,"параллельная направляющая с точной регулировкой, переходник для пылесоса, направляющая гильза 30 мм, ключ 22 мм, цанга 12 мм."
D26204K-QS,"2 параллельных упора, 2 адаптера для пылесоса, цанга 8 мм, гаечный ключ 17 мм, направляющая гильза 17 мм, центрирующий конус, 2 базы, кейс."
DW621K-QS,"параллельная направляющая с точной регулировкой, цанга 8 мм, ключ 10/17, направляющая гильза 24 мм, адаптер для пылесоса, кейс."
DW629,"параллельная направляющая, переходник для пылесоса, направляющая гильза 30 мм, ключ 22 мм, цанга 12 мм."
DW624-QS,"параллельная направляющая с точной регулировкой, переходник для пылесоса, направляющая гильза 30 мм, ключ 22 мм, цанга 12 мм."
DW626-QS,"параллельная направляющая с точной регулировкой, адаптер пылесоса, направляющая гильза 30 мм, ключ 22 мм, цанги 8 и 12 мм, чемодан."
DW621-QS,"параллельная направляющая с точной регулировкой, направляющая гильза 24 мм, переходник для пылесоса, 17/10 мм ключ, цанга 8 мм."
DWE6411-QS,"вибрационная шлифмашина, мешок для сбора пыли со встроенным адаптером для пылесоса, перфорирующая рамка, упаковка."
D26422-QS,"шлифбумага с липучкой, подошва с липучкой, бумажный пылесборник."
DWP849X-QS,"подошва на липучке, 180 мм, полировальный колпак на липучке, 180 мм, дугообразная боковая рукоятка, горизонтальная боковая рукоятка."
DWE4579R-QS,"регулируемый без ключа защитный кожух, антивибрационная боковая рукоятка, внутренний фланец, наружный фланец, спецключ, упаковка."
DWE4257-KS,"угловая шлифмашина, спецключ (шестигранник), упаковка."
DWE4151-KS,"защитный кожух, многопозиционная боковая рукоятка, внутренний и наружный фланцы, спецключ (шестигранник)."
DWE4559-QS,"быстросъемный защитный кожух, антивибрационная боковая рукоятка, внутренний фланец, наружный фланец, спецключ, упаковка."
DWE4599-QS,"регулируемый без ключа защитный кожух, антивибрационная боковая рукоятка, внутренний и наружный фланцы, спецключ, коробка."
DWE4150-KS,"угловая шлифмашина, защитный кожух, многопозиционная боковая рукоятка, внутренний и наружный фланцы, спецключ."
DWE4237-QS,"угловая шлифмашина, регулируемый без ключа защитный кожух, многопозиционная боковая рукоятка, внутренний и наружный фланцы, спецключ (шестигранник), упаковка."
DWE4051-KS,"защитный кожух, многопозиционная боковая рукоятка, внутренний и наружный фланцы, спецключ."
DWE492S-KS,"защитный кожух, боковая рукоятка, внутренний и наружный фланцы, спецключ, упаковка."
DWE496,"угловая шлифмашина, защитный кожух, двухпозиционная рукоятка, внутренний и наружный фланцы, спецключ, коробка."
DWE490-KS,"защитный кожух, боковая рукоятка, внутренний и наружный фланцы, спецключ, упаковка."
DWE4597-QS,"быстросъемный защитный кожух, антивибрационная боковая рукоятка, внутренний фланец, наружный фланец, спецключ, упаковка."
DWE4238-KS,"угловая шлифмашина, спецключ (шестигранник), боковая рукоятка, упаковка."
DWE4215-KS,"многопозиционная боковая рукоятка, защитный кожух, фланцы, спецключ (шестигранник), упаковка."
DWE4227-QS,"угловая шлифмашина, защитный кожух, антивибрационная боковая рукоятка, внутренний и наружный фланцы, спецключ (шестигранник), коробка."
DWE4579-QS,"быстросъемный защитный кожух, антивибрационная боковая рукоятка, внутренний фланец, наружный фланец, спецключ, упаковка."
DWE4015-KS,"шлифмашина, регулируемый защитный кожух, многопозиционная боковая рукоятка, внутренний и наружный фланцы, спецключ, упаковка."
DWE4205-KS,"угловая шлифмашина, многопозиционная боковая рукоятка, защитный кожух, фланцы, спецключ, упаковка."
DWE8110S,"угловая шлифмашина, защитный кожух, боковая рукоятка, фланцы, спецключ, коробка."
DWE6423-QS,"эксцентриковая шлифмашина, пылесборник, упаковка."
D26410-QS,"шлифовальная бумага, бумажный пылесборник с рамкой, упаковка."
DC743KA,"1-часовое зарядное устройство, две батареи, чемодан."
DCD777S2T-QW,"бесщеточная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, кейс."
DCD991P2-QW,"бесщеточная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, крепление на пояс, многопозиционная боковая рукоятка, чемодан TSTAK."
DCD920B2,"40-минутное зарядное устройство, два аккумулятора 2.6 А·ч, Ni-MH, многопозиционная боковая рукоятка, чемодан."
DCD920L2,"40-минутное зарядное устройство, 2 аккумулятора 2.0 А·ч, Li-ion, многопозиционная боковая рукоятка, чемодан."
DCD931L2,"60-минутное зарядное устройство, две батареи, многопозиционная боковая рукоятка, чемодан."
DC750KA,"зарядное устройство, два аккумулятора 1.3 А·ч, NiCd, чемодан."
DCD780L2,"60-минутное зарядное устройство, две Li-ion батареи 18.0 В, 3 А·ч, чемодан."
DCD931M2,"2 аккумулятора Li-ion 14.4 В, 4.0 А·ч, универсальное зарядное устройство, многопозиционная боковая рукоятка, чемодан."
DCD733C2,"2 x 1.5 А·ч XR Li-ion батареи, универсальное зарядное устройство, клипса для крепления инструмента на ремень, магнитный держатель, чемодан."
DC721KA,"1-часовое зарядное устройство, 2 аккумулятора NiCd, 2.0 А·ч, чемодан."
DT0109,"2 NiCd аккумулятора 12 В, 1.5 А·ч, зарядное устройство, cверла по металлу: 1.5 мм; 2 мм; 2.5 мм; 3 мм; 3.2 мм; 3.5 мм; 4 мм; 4.5 мм; 4.8 мм; 5 мм; 5.5 мм; 6 мм; 6.5 мм, cверла по кирпичу: 3 мм; 5.5 мм; 6 мм; 8 мм; 10 мм, cверла по дереву 3 мм; 3.2 мм; 3.5 мм; 4 мм; 4.5 мм; 4.8 мм; 5 мм; 5.5 мм; 6 мм; 6.5 мм; 7 мм; 7.5 мм; 8 мм, биты крестовые ph0-3 шт, ph1-3 шт, PH2-3 шт ph3-3 шт, биты крестовые pz0-3 шт, pz1-3 шт, pz2-4 шт, pz3-4 шт, биты плоские sl4-2 шт, sl5-2 шт, sl6-2 шт, sl7 -4 шт, биты квадратные s1, s2, s3, биты t10, t15, t20 , t25, t27, t30;биты для шестигранного шлица h4-2 шт, h5-2 шт, h6-2 шт, h7-1 шт, биты крестовые ph1- 1 шт; PH2 - 2 шт; ph3 - 1 шт, биты крестовые pz1 - 1 шт; pz2 - 1 шт; pz3 - 1 шт, биты плоские sl6 (8 мм) - 1 шт; sl8 (10 мм) - 1 шт; sl10 (12 мм) - 1 шт, зенкер, торцовочные насадки 5 мм - 2 шт; 6 мм; 7 мм; 7 мм; 8 мм; 9 мм; 10 мм; 11 мм; 12 мм; 13 мм, магнитный держатель, чемодан."
DCD730C2,"зарядное устройство, 2 аккумулятора 14.4 В, чемодан."
DCD932P2-QW,"две батареи XR Li-ion 5.0 А·ч, универсальное зарядное устройство хr, клипса для крепления инструмента на ремень, магнитный держатель насадок, многопозиционная боковая рукоятка, чемодан системы TSTAK."
DCD980M2,"многопозиционная боковая рукоятка, универсальное зарядное устройство, 2 сдвижные батареи, чемодан."
DC743KB,"аккумуляторная дрель, одночасовое зарядное устройство, аккумуляторы (Ni-MH, 2.6 А·ч) - 2 шт, чемодан."
DC720KA,"1-часовое зарядное устройство, два аккумулятора NiCd, 18 В, 1.3 А·ч, чемодан."
DC730KA,"1-часовое зарядное устройство, 2 аккумулятора 1.3 А·ч, NiCd, чемодан."
DC740KA,"2 аккумулятора 1.3 А·ч, NiCd, 1-часовое зарядное устройство, чемодан."
DCD730L2,"1-часовое зарядное устройство;две Li-ion батареи 14.4 В, чемодан."
DCD932M2,"две батареи XR Li-ion 4 А·ч, универсальное зарядное устройство хr, клипса для крепления инструмента на ремень, магнитный держатель насадок, многопозиционная боковая рукоятка, чемодан системы TSTAK."
DCD990P2,"2 аккумулятора XR Li-ion 5А·ч, зарядное устройство, боковая рукоятка, клипса на ремень, магнитный держатель для бит, чемодан TSTAK."
DC733K2,"1-часовое зарядное устройство, два аккумулятора NiCd 2,0А·ч, чемодан."
DCD990M2,"две батареи XR Li-ion 4,0 А·ч с индикацией заряда, универсальное зарядное устройство XR, клипса для крепления инструмента на ремень, магнитный держатель насадок, многопозиционная боковая рукоятка, чемодан системы TSTAK."
DCD732P2-QW,"две батареи 5.0 А·ч, XR Li-ion, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель насадок, чемодан TSTAK."
DW979K2,"1-часовое зарядное устройство, 2 аккумулятора 2,0 А·ч, NiCd, магнитный держатель, отверточная насадка, чемодан."
DCF610S2,"40-минутное зарядное устройство, две Li-ion батареи, чемодан."
DCD790P2,"две батареи 5.0 А·ч, XR Li-ion, универсальное зарядное устройство XR (18 В/14.4в/10.8в), клипса на ремень, магнитный держатель, чемодан TSTAK."
DCD780M2,"универсальное зарядное устройство, 2 сдвижные батареи, чемодан."
DCD791D2-QW,"аккумуляторная дрель-шуруповерт, 2 аккумулятора XR Li-ion 2.0 А·ч с индикатором заряда, зарядное устройство, руководство по эксплуатации, чемодан."
DCD710D2-KS,"аккумуляторная дрель-шуруповерт, две батареи 2.0 А·ч XR Li-ion, универсальное зарядное устройство XR, чемодан."
DCD791P2-QW,"бесщеточная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, крепление на пояс, чемодан TSTAK."
DCD710C2-KS,"две батареи 1.3 А·ч XR Li-ion, универсальное зарядное устройство XR, чемодан."
DCD771C2,"аккумуляторная дрель-шуруповерт, 2 аккумулятора 1.3 А·ч XR Li-ion, зарядное устройство 18 В, чемодан."
DC731KB,"зарядное устройство, две NiMH батареи 2.6 А·ч, чемодан."
DCD710S2,"40-минутное зарядное устройство, две Li-ion батареи, чемодан."
DCD734C2,"две батареи XR Li-ion 1.3 А·ч, универсальное зарядное устройство, чемодан."
DCD940B2,"40-минутное зарядное устройство, 2 аккумулятора 2,6А·ч, Ni-MH, многопозиционная боковая рукоятка, чемодан."
DCD780C2-QW,"30-минутное зарядное устройство, две Li-ion батареи 18 В, 1.5 А·ч, чемодан."
DCD790D2,"две батареи 2.0 А·ч, XR Li-ion, универсальное зарядное устройство XR (18 В/14.4в/10.8в), клипса на ремень, магнитный держатель, чемодан."
DCD771S2-KS,"дрель-шуруповерт, 2 аккумулятора, зарядное устройство, чемодан."
DCD732D2-QW,"2 x 2.0 А·ч XR Li-ion батареи, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCD790M2,"две батареи 4.0 А·ч, XR Li-ion, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCF610D2-QW,"аккумуляторный шуруповерт, 2 x 2.0 А·ч XR Li-ion батареи, 40-минутное зарядное устройство, чемодан."
DCD734S2-KS,"дрель-шуруповерт, 2 аккумулятора (14.4 В/1.5 А·ч), зарядное устройство, чемодан."
DCD776S2-KS,"ударная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, чемодан."
